2019-08-31 15:57:50 DEBUG Starting new HTTPS connection (1): www.goodreads.com:443
2019-08-31 15:57:52 DEBUG https://www.goodreads.com:443 "GET /quotes/55276-i-have-nothing-to-offer-but-blood-toil-tears-and HTTP/1.1" 200 None
2019-08-31 15:57:53 DEBUG utf-8  confidence = 0.99
2019-08-31 15:57:53 DEBUG SHIFT_JIS Japanese confidence = 0.01
2019-08-31 15:57:53 DEBUG EUC-JP Japanese confidence = 0.01
2019-08-31 15:57:53 DEBUG GB2312 Chinese confidence = 0.01
2019-08-31 15:57:53 DEBUG EUC-KR Korean confidence = 0.01
2019-08-31 15:57:53 DEBUG CP949 Korean confidence = 0.01
2019-08-31 15:57:53 DEBUG Big5 Chinese confidence = 0.01
2019-08-31 15:57:53 DEBUG EUC-TW Taiwan confidence = 0.01
2019-08-31 15:57:53 DEBUG windows-1251 Russian confidence = 0.01
2019-08-31 15:57:53 DEBUG KOI8-R Russian confidence = 0.01
2019-08-31 15:57:53 DEBUG ISO-8859-5 Russian confidence = 0.0
2019-08-31 15:57:53 DEBUG MacCyrillic Russian confidence = 0.0
2019-08-31 15:57:53 DEBUG IBM866 Russian confidence = 0.0
2019-08-31 15:57:53 DEBUG IBM855 Russian confidence = 0.01
2019-08-31 15:57:53 DEBUG ISO-8859-7 Greek confidence = 0.0
2019-08-31 15:57:53 DEBUG windows-1253 Greek confidence = 0.0
2019-08-31 15:57:53 DEBUG ISO-8859-5 Bulgairan confidence = 0.0
2019-08-31 15:57:53 DEBUG windows-1251 Bulgarian confidence = 0.0
2019-08-31 15:57:53 DEBUG TIS-620 Thai confidence = 0.14719958674206687
2019-08-31 15:57:53 DEBUG ISO-8859-9 Turkish confidence = 0.5526972576838093
2019-08-31 15:57:53 DEBUG windows-1255 Hebrew confidence = 0.0
2019-08-31 15:57:53 DEBUG windows-1255 Hebrew confidence = 0.0
2019-08-31 15:57:53 DEBUG windows-1255 Hebrew confidence = 0.0
2019-08-31 15:57:53 DEBUG utf-8  confidence = 0.99
2019-08-31 15:57:53 DEBUG SHIFT_JIS Japanese confidence = 0.01
2019-08-31 15:57:53 DEBUG EUC-JP Japanese confidence = 0.01
2019-08-31 15:57:53 DEBUG GB2312 Chinese confidence = 0.01
2019-08-31 15:57:53 DEBUG EUC-KR Korean confidence = 0.01
2019-08-31 15:57:53 DEBUG CP949 Korean confidence = 0.01
2019-08-31 15:57:53 DEBUG Big5 Chinese confidence = 0.01
2019-08-31 15:57:53 DEBUG EUC-TW Taiwan confidence = 0.01
2019-08-31 15:57:53 DEBUG Starting new HTTPS connection (1): www.goodreads.com:443
2019-08-31 15:57:54 DEBUG https://www.goodreads.com:443 "GET /work/quotes/4694-the-illustrated-gettysburg-address HTTP/1.1" 200 None
2019-08-31 15:57:56 DEBUG utf-8  confidence = 0.99
2019-08-31 15:57:56 DEBUG SHIFT_JIS Japanese confidence = 0.01
2019-08-31 15:57:56 DEBUG EUC-JP Japanese confidence = 0.01
2019-08-31 15:57:56 DEBUG GB2312 Chinese confidence = 0.01
2019-08-31 15:57:56 DEBUG EUC-KR Korean confidence = 0.01
2019-08-31 15:57:56 DEBUG CP949 Korean confidence = 0.01
2019-08-31 15:57:56 DEBUG Big5 Chinese confidence = 0.01
2019-08-31 15:57:56 DEBUG EUC-TW Taiwan confidence = 0.01
2019-08-31 15:57:56 DEBUG windows-1251 Russian confidence = 0.01
2019-08-31 15:57:56 DEBUG KOI8-R Russian confidence = 0.01
2019-08-31 15:57:56 DEBUG ISO-8859-5 Russian confidence = 0.01
2019-08-31 15:57:56 DEBUG MacCyrillic Russian confidence = 0.0
2019-08-31 15:57:56 DEBUG IBM866 Russian confidence = 0.0
2019-08-31 15:57:56 DEBUG IBM855 Russian confidence = 0.01
2019-08-31 15:57:56 DEBUG ISO-8859-7 Greek confidence = 0.0
2019-08-31 15:57:56 DEBUG windows-1253 Greek confidence = 0.0
2019-08-31 15:57:56 DEBUG ISO-8859-5 Bulgairan confidence = 0.0
2019-08-31 15:57:56 DEBUG windows-1251 Bulgarian confidence = 0.0
2019-08-31 15:57:56 DEBUG TIS-620 Thai confidence = 0.0
2019-08-31 15:57:56 DEBUG ISO-8859-9 Turkish confidence = 0.526730879702434
2019-08-31 15:57:56 DEBUG windows-1255 Hebrew confidence = 0.0
2019-08-31 15:57:56 DEBUG windows-1255 Hebrew confidence = 0.0
2019-08-31 15:57:56 DEBUG windows-1255 Hebrew confidence = 0.0
2019-08-31 15:57:56 DEBUG utf-8  confidence = 0.99
2019-08-31 15:57:56 DEBUG SHIFT_JIS Japanese confidence = 0.01
2019-08-31 15:57:56 DEBUG EUC-JP Japanese confidence = 0.01
2019-08-31 15:57:56 DEBUG GB2312 Chinese confidence = 0.01
2019-08-31 15:57:56 DEBUG EUC-KR Korean confidence = 0.01
2019-08-31 15:57:56 DEBUG CP949 Korean confidence = 0.01
2019-08-31 15:57:56 DEBUG Big5 Chinese confidence = 0.01
2019-08-31 15:57:56 DEBUG EUC-TW Taiwan confidence = 0.01
